server_status,server_id,server_name
SHUTOFF,4246fd38-63ec-4f96-933c-3457dfc1d5ce,VerifyArgon
SHUTOFF,e1bf4a3c-f040-4f1e-a786-c8be48983892,Ubuntu20
SHUTOFF,4e26f465-133d-43d6-8cb3-78b530162838,TopCAT Admin
SHUTOFF,7d0a23a2-8a7c-471f-9856-f316b70f15b0,Test_plotly_dash
SHUTOFF,01cdeac9-1070-4255-acc5-aedb6f9e9a6e,StackStorm-test
SHUTOFF,460b4c7f-c7fc-4624-83d4-56c2ea1f8599,Spring8 Workshop
SHUTOFF,077920a9-cc22-484a-bfe3-a2a09007729f,Slurm Headnode
SHUTOFF,a6ca246f-ff36-404d-9daa-d8bf7b74634c,SLH-Fitbenchmarking
SHUTOFF,8e0587be-92d9-47b3-8811-c8879c2aef9e,PanDDAMongo
SHUTOFF,b1dbb630-a7fe-4e5a-bcd7-348293c71607,Matt-PR-Review-Comments
SHUTOFF,9eabd6d4-ea05-4e81-8c05-7ec017aab3a4,Matt-GHTorrent-Test
SHUTOFF,ed31e7c6-f8a5-41e1-a4f2-62620e7b4b67,Martin_S_Cert_handler
SHUTOFF,11a4705a-d83d-41d2-ae1d-8b27b4d47bac,March 2020 Hackathon
SHUTOFF,89a7213d-ec7d-4782-a228-e545ff304255,ML4Nb
SHUTOFF,66cece09-5f16-4147-a1a8-aadb1c935562,Gemma-invenio
SHUTOFF,85a5117c-9437-4ad1-8c30-75d57e812b55,"Frazer - icattest, old scarf wfe stuff"
SHUTOFF,28c82a98-cd60-46ad-8732-d55d40aab515,Frazer - Access to Ultra DMF via NFS IP auth
SHUTOFF,722a1cbf-0af5-458e-82cb-73d27ffbc54b,Fold-2
SHUTOFF,733020da-4a53-4651-822e-2d62af91e9d3,Edo Dev
SHUTOFF,525fc7fd-3e29-4840-9ca6-9aa2306a8bd7,EMseg_GPU3
SHUTOFF,c71fb507-dcb1-4b85-be7a-2e957928ec4d,Docker development
SHUTOFF,3cba26db-d980-4690-8109-f0158b6246e3,DNS_test02
SHUTOFF,cdf43556-c477-48f4-9e5d-7bc55c21c90c,D-banks test
SHUTOFF,35ad2115-a27f-4f02-a850-83fe3c55f43b,Cloudy-controller
SHUTOFF,59ceb3e7-424f-4bdb-bc32-0c508bdfe5a3,CallumLee-58HA4I
SHUTOFF,bb1c41d5-f1f4-4637-a50e-7321f7aac8fa,CMG_Mantid
SHUTOFF,efba5db5-9e25-4010-81e8-cce11c5352c4,CIL SIRF external
SHUTOFF,7fe1f310-d1e8-454a-9495-813db3196c2e,Alex_DDS_ICAT_old
SHUTOFF,e605bf18-71a9-465b-b7ca-568e32adc4f6,ALMA Dev
SHUTOFF,e1dc3755-51a5-499b-8818-9ea3072a00f3,AL-matlab_testing
SHUTOFF,bb15fd14-f465-4806-b3be-608be58c6926,A100x4
SHUTOFF,d8bff4a1-383b-4362-b2ce-57061624c349,23.6.0 RC2 RC3 RC4
SHUTOFF,3dfc2b18-d7d2-43a7-a96f-6ac89fb8ea80,23.6.0 RC1
